value.F1,value.sd,nb_filter,kernel_size,embedingdim,hidden_size
0.9667757137087721,0.0055784809385527176,32,8,50,128
0.9767358397961667,0.003322691613787492,256,4,50,128
0.9686826153287225,0.0083437653081466,128,4,50,128
0.9681957772718612,0.0046806029319713055,64,4,50,128
0.9684280335286448,0.003612234405183131,32,4,50,128
0.9639265014152898,0.008234133714464608,256,2,50,128
0.9681647347039661,0.008228121802844815,128,2,50,128
0.9604147882302881,0.009021753183685866,64,2,50,128
0.9606161207070458,0.005529173316468826,32,2,50,128
0.9739323744218893,0.007861217454879084,256,16,32,128
0.9720451605454248,0.007554678872035681,128,16,32,128
0.9717948261078595,0.0028082070591600033,64,16,32,128
0.9659938126769083,0.006601420546364877,32,16,32,128
0.9728744143824661,0.00783902422744832,256,8,32,128
0.972942467830626,0.004784169695810222,128,8,32,128
0.9683896914644794,0.0060488969554210225,64,8,32,128
0.9627929785993771,0.004356202964204272,32,8,32,128
0.9738538352015753,0.0067846090206111955,256,4,32,128
0.9675080796764799,0.011889618268210483,128,4,32,128
0.9698374696034571,0.0030562914301997235,64,4,32,128
0.9629625192619845,0.008403141486955788,32,4,32,128
0.9681428430275965,0.0031114053201791885,256,2,32,128
0.9623308592285459,0.011131871958145243,128,2,32,128
0.9622156667044156,0.007791639277575103,64,2,32,128
0.9625104945604043,0.00567754308630407,32,2,32,128
0.9770159911926949,0.00432625989940402,256,16,100,64
0.9724581740099807,0.00534765619918833,128,16,100,64
0.9713572030764985,0.0075709852599615355,64,16,100,64
0.9677762862229784,0.005792045622633597,32,16,100,64
0.9756780086462966,0.008221184346554717,256,8,100,64
0.9757690493679305,0.004301760290419996,128,8,100,64
0.9740324684504382,0.004126212193140334,64,8,100,64
0.9657689237028899,0.00514319364244275,32,8,100,64
0.9763302376985324,0.004710936217634667,256,4,100,64
0.9745890222545388,0.004770247434664131,128,4,100,64
0.9685872426569988,0.006308323818270281,64,4,100,64
0.9665275197137838,0.004895395643605833,32,4,100,64
0.9725408607330394,0.005093886343763265,256,2,100,64
0.9662953318513418,0.005880065505002456,128,2,100,64
0.969052098846228,0.004854055317917218,64,2,100,64
0.960937961774161,0.004173448333320436,32,2,100,64
0.9731947938689325,0.008289287711150473,256,16,50,64
0.9729868908387097,0.007358428749593645,128,16,50,64
0.9690526389959953,0.004989752610127398,64,16,50,64
0.9653210547417265,0.009699340406136507,32,16,50,64
0.9766575108870932,0.0042779734858157245,256,8,50,64
0.9719274471712093,0.006890453741509556,128,8,50,64
0.9691736359442175,0.0031307305434860187,64,8,50,64
0.959667009014746,0.006255643888606137,32,8,50,64
0.972389809899136,0.008690498017010011,256,4,50,64
0.9718332450224894,0.004119529741758381,128,4,50,64
0.9676911590373862,0.004812237342831384,64,4,50,64
0.9674825751922893,0.0031766928296670174,32,4,50,64
0.9688430138438755,0.004230005507690127,256,2,50,64
0.9675626197406528,0.004486872499065145,128,2,50,64
0.9608930178111323,0.007533171186804714,64,2,50,64
0.9545222257679926,0.00719079009229349,32,2,50,64
0.9763931752546324,0.0030195441633271143,256,16,32,64
0.9692832074695815,0.008360114273265917,128,16,32,64
0.9674581764340583,0.006166217735934396,64,16,32,64
0.9668008571732177,0.0046630996434131825,32,16,32,64
0.9740992160651566,0.004228038734659047,256,8,32,64
0.9709565346839013,0.007790938849842161,128,8,32,64
0.9664316076267435,0.005626226380982626,64,8,32,64
0.9624400521057943,0.007003597583533595,32,8,32,64
0.974204853755372,0.0051924801286499225,256,4,32,64
0.9695940752537414,0.005952023677649642,128,4,32,64
0.9603206391153558,0.006958740315563896,64,4,32,64
0.9635522365528562,0.0034325321586316238,32,4,32,64
0.971455566385261,0.005158405554813138,256,2,32,64
0.965818989468221,0.004398458368598006,128,2,32,64
0.955947580447915,0.0066536147603438464,64,2,32,64
0.9568171614777238,0.007762748126637037,32,2,32,64
