k,label,recall,support
7,dga.pykspa_v2_fake,0.8787878787878788,33
7,dga.pykspa_v2_real,1,7
7,dga.qadars,0.8787878787878788,66
7,dga.qakbot,0.9680365296803652,2409
7,dga.ramdo,0.9975579975579976,4095
7,dga.ramnit,0.9264985082723081,3687
7,dga.ranbyus,0.9893390191897654,938
7,dga.rovnix,0.9990719257540603,2155
7,dga.shifu,0.8317757009345794,107
7,dga.shiotob/urlzone/bebloh,0.9273084479371316,509
7,dga.simda,0.850177304964539,1128
7,dga.sisron,1,3
7,dga.suppobox,0.4954682779456193,331
7,dga.symmi,0.9833333333333333,180
7,dga.tempedreve,0.8,10
7,dga.tinba,0.9890435679298788,7758
7,dga.vawtrak,0.7692307692307693,13
7,dga.virut,0.3228511530398323,477
7,dga.volatile,0.7619047619047619,42
7,dga.zeus,1,38
7,normal.alexa,0.9946977465422805,39983
7,normal.bambenek,0.9105691056910569,123
8,dga.bamital,1,32
8,dga.banjori,0.9994303617203076,17555
8,dga.bedep,1,30
8,dga.beebone,0.75,8
8,dga.chinad,1,10
8,dga.conficker,0.8403674280039722,4028
8,dga.corebot,1,34
8,dga.cryptolocker,0.9851539995568358,4513
8,dga.cryptowall,0,3
8,dga.dircrypt,1,24
8,dga.dyre,1,1064
8,dga.fobber,1,22
8,dga.gameover,1,484
8,dga.geodo,0.9871794871794872,78
8,dga.goz,1,69
8,dga.hesperbot,0.8571428571428571,7
8,dga.kraken,0.9664082687338501,387
8,dga.locky,0.9305555555555556,360
8,dga.matsnu,0.9855072463768116,4002
8,dga.murofet,0.9969574036511156,1972
8,dga.necurs,0.9532595325953259,3252
8,dga.newgoz,1,65
8,dga.nymaim,0.8546583850931677,805
8,dga.p2p,1,160
8,dga.padcrypt,0.974025974025974,77
8,dga.post,0.9998865441343318,8814
8,dga.proslikefan,1,4
8,dga.pushdo,0.9813631522896699,3756
8,dga.pykspa,0.9116504854368932,1030
8,dga.pykspa_v1,1,1
8,dga.pykspa_v2_fake,0.84375,32
8,dga.pykspa_v2_real,1,6
8,dga.qadars,0.9848484848484849,66
8,dga.qakbot,0.9767538397675384,2409
8,dga.ramdo,0.9995115995115995,4095
8,dga.ramnit,0.9376186601573094,3687
8,dga.ranbyus,0.9850905218317358,939
8,dga.rovnix,0.9976808905380334,2156
8,dga.shifu,0.9439252336448598,107
8,dga.shiotob/urlzone/bebloh,0.962671905697446,509
8,dga.simda,0.9219858156028369,1128
8,dga.sisron,1,2
8,dga.suppobox,0.4561933534743202,331
8,dga.symmi,0.9833333333333333,180
8,dga.tempedreve,1,10
8,dga.tinba,0.988399071925754,7758
8,dga.vawtrak,0.7692307692307693,13
8,dga.virut,0.5555555555555556,477
8,dga.volatile,0.975609756097561,41
8,dga.zeus,1,38
8,normal.alexa,0.9922214996748537,39982
8,normal.bambenek,0.9105691056910569,123
9,dga.bamital,1,31
9,dga.banjori,0.9995442893762461,17555
9,dga.bedep,0.9666666666666667,30
9,dga.beebone,1,8
9,dga.chinad,1,9
9,dga.conficker,0.8505461767626614,4028
9,dga.corebot,1,34
9,dga.cryptolocker,0.9886993130955019,4513
9,dga.cryptowall,0.25,4
9,dga.dircrypt,0.92,25
9,dga.dyre,1,1064
9,dga.fobber,1,23
9,dga.gameover,1,484
9,dga.geodo,1,78
9,dga.goz,1,68
9,dga.hesperbot,1,7
9,dga.kraken,0.9637305699481865,386
9,dga.locky,0.9527777777777777,360
9,dga.matsnu,0.9500374718960779,4003
9,dga.murofet,0.9903651115618661,1972
9,dga.necurs,0.9538887181063633,3253
9,dga.newgoz,1,66
9,dga.nymaim,0.8399503722084367,806
9,dga.p2p,0.9875,160
9,dga.padcrypt,0.974025974025974,77
9,dga.post,0.9997730882686635,8814
9,dga.proslikefan,1,5
9,dga.pushdo,0.9446219382321619,3756
9,dga.pykspa,0.912621359223301,1030
9,dga.pykspa_v1,1,1
9,dga.pykspa_v2_fake,0.90625,32
9,dga.pykspa_v2_real,0.8571428571428571,7
9,dga.qadars,0.9393939393939394,66
9,dga.qakbot,0.9809049398090494,2409
9,dga.ramdo,0.9973137973137973,4095
9,dga.ramnit,0.9430276722734672,3686
9,dga.ranbyus,0.9861407249466951,938
9,dga.rovnix,0.9981438515081207,2155
9,dga.shifu,0.9439252336448598,107
9,dga.shiotob/urlzone/bebloh,0.9490196078431372,510
9,dga.simda,0.9397163120567376,1128
9,dga.sisron,1,2
9,dga.suppobox,0.5589123867069486,331
9,dga.symmi,1,180
9,dga.tempedreve,0.9,10
9,dga.tinba,0.9925238463521526,7758
9,dga.vawtrak,0.9166666666666666,12
9,dga.virut,0.4339622641509434,477
9,dga.volatile,0.9523809523809523,42
9,dga.zeus,1,38
9,normal.alexa,0.9933470061527687,39982
9,normal.bambenek,0.7642276422764228,123
10,dga.bamital,1,31
10,dga.banjori,1,17555
10,dga.bedep,0.9666666666666667,30
10,dga.beebone,1,8
10,dga.chinad,1,10
10,dga.conficker,0.9019364448857994,4028
10,dga.corebot,1,35
10,dga.cryptolocker,0.9904719698648349,4513
10,dga.cryptowall,0,4
10,dga.dircrypt,1,24
10,dga.dyre,1,1063
10,dga.fobber,0.9545454545454546,22
10,dga.gameover,1,483
10,dga.geodo,1,78
10,dga.goz,1,68
10,dga.hesperbot,0.875,8
10,dga.kraken,0.9844961240310077,387
10,dga.locky,0.95,360
10,dga.matsnu,0.9932550587059705,4003
10,dga.murofet,0.9979716024340771,1972
10,dga.necurs,0.9714110052259453,3253
10,dga.newgoz,1,65
10,dga.nymaim,0.901863354037267,805
10,dga.p2p,1,161
10,dga.padcrypt,0.987012987012987,77
10,dga.post,0.9998865441343318,8814
10,dga.proslikefan,0.5,4
10,dga.pushdo,0.989084132055378,3756
10,dga.pykspa,0.941747572815534,1030
10,dga.pykspa_v1,1,1
10,dga.pykspa_v2_fake,1,33
10,dga.pykspa_v2_real,0.8571428571428571,7
10,dga.qadars,0.8656716417910447,67
10,dga.qakbot,0.987546699875467,2409
10,dga.ramdo,1,4095
10,dga.ramnit,0.9679956604285327,3687
10,dga.ranbyus,0.9957401490947817,939
10,dga.rovnix,0.9981447124304267,2156
10,dga.shifu,0.9158878504672897,107
10,dga.shiotob/urlzone/bebloh,0.9646365422396856,509
10,dga.simda,0.9698581560283688,1128
10,dga.sisron,1,2
10,dga.suppobox,0.6042296072507553,331
10,dga.symmi,1,180
10,dga.tempedreve,1,10
10,dga.tinba,0.9948440319670018,7758
10,dga.vawtrak,0.8461538461538461,13
10,dga.virut,0.7044025157232704,477
10,dga.volatile,1,42
10,dga.zeus,1,38
10,normal.alexa,0.9855188455093414,39983
10,normal.bambenek,0.7723577235772358,123
